occurred_at,event,anonymous_id,user_id,account_id,session_id,scale_id,assessment_id,report_id,channel,plan_tier,utm_source,utm_medium,utm_campaign,method,is_email_verified,status,format,generation_ms,device_type,locale,exp_onboarding_flow
2025-08-01T11:07:28Z,submit_assessment,,u_01396,a_01396,s_b9f342a1,sc_104,as_66d9f13ba0,,email,business,,,,,,started,,,desktop,es-ES,control
2025-08-01T11:07:28Z,submit_assessment,,u_01396,a_01396,s_b9f342a1,sc_104,as_66d9f13ba0,,email,business,,,,,,complete,,,desktop,es-ES,control
2025-08-01T11:10:28Z,submit_assessment,,u_01396,a_01396,s_b9f342a1,sc_104,as_66d9f13ba0,,email,business,,,,,,in_progress,,,desktop,es-ES,control
2025-08-01T11:42:52Z,signup_completed,,u_00929,a_00929,s_625f8dd9,,,,direct,free,,,,sso_google,True,,,,desktop,fr-FR,control
2025-08-01T11:43:52Z,select_scale,,u_00929,a_00929,s_625f8dd9,sc_104,,,direct,free,,,,,,,,,desktop,fr-FR,control
2025-08-01T11:48:52Z,submit_assessment,,u_00929,a_00929,s_625f8dd9,sc_104,as_d9aa583bab,,direct,free,,,,,,started,,,desktop,fr-FR,control
2025-08-01T11:55:52Z,submit_assessment,,u_00929,a_00929,s_625f8dd9,sc_104,as_d9aa583bab,,direct,free,,,,,,in_progress,,,desktop,fr-FR,control
2025-08-01T11:59:12Z,signup_completed,,u_00154,a_00154,s_c1fb3941,,,,direct,free,,,,sso_azure,True,,,,tablet,fr-FR,control
2025-08-01T12:03:12Z,select_scale,,u_00154,a_00154,s_c1fb3941,sc_102,,,direct,free,,,,,,,,,tablet,fr-FR,control
2025-08-01T12:03:52Z,submit_assessment,,u_00929,a_00929,s_625f8dd9,sc_104,as_d9aa583bab,,direct,free,,,,,,complete,,,desktop,fr-FR,control
2025-08-01T12:26:14Z,signup_completed,,u_00362,a_00362,s_68cbbb81,,,,referral,business,,,,email_password,False,,,,mobile,en-US,control
2025-08-01T12:30:14Z,select_scale,,u_00362,a_00362,s_68cbbb81,sc_105,,,referral,business,,,,,,,,,mobile,en-US,control
2025-08-01T12:57:43Z,signup_completed,,u_01286,a_01286,s_16089a16,,,,organic,business,,,,sso_google,True,,,,mobile,ca-ES,control
2025-08-01T12:59:51Z,signup_completed,,u_00406,a_00406,s_1b068763,,,,paid_search,pro,,,,email_password,True,,,,tablet,en-US,control
2025-08-01T13:04:51Z,select_scale,,u_00406,a_00406,s_1b068763,sc_104,,,paid_search,pro,,,,,,,,,tablet,en-US,control
2025-08-01T13:52:52Z,signup_completed,,u_01251,a_01251,s_411a21b6,,,,organic,free,,,,email_password,True,,,,mobile,fr-FR,control
2025-08-01T13:56:52Z,select_scale,,u_01251,a_01251,s_411a21b6,sc_101,,,organic,free,,,,,,,,,mobile,fr-FR,control
2025-08-01T14:01:52Z,submit_assessment,,u_01251,a_01251,s_411a21b6,sc_101,as_b7ffbe19e7,,organic,free,,,,,,started,,,mobile,fr-FR,control
2025-08-01T14:01:52Z,generate_report,,u_01251,a_01251,s_411a21b6,sc_101,as_b7ffbe19e7,r_7989a97f5c,organic,free,,,,,,,web,3151,mobile,fr-FR,control
2025-08-01T14:08:52Z,submit_assessment,,u_01251,a_01251,s_411a21b6,sc_101,as_b7ffbe19e7,,organic,free,,,,,,complete,,,mobile,fr-FR,control
2025-08-01T14:10:52Z,submit_assessment,,u_01251,a_01251,s_411a21b6,sc_101,as_b7ffbe19e7,,organic,free,,,,,,in_progress,,,mobile,fr-FR,control
2025-08-01T14:43:32Z,signup_completed,,u_00636,a_00636,s_ba589c8a,,,,direct,free,,,,email_password,True,,,,desktop,en-US,control
2025-08-01T14:53:27Z,signup_completed,,u_00674,a_00674,s_1714d2fa,,,,referral,pro,,,,sso_azure,True,,,,desktop,ca-ES,control
2025-08-01T14:57:27Z,select_scale,,u_00674,a_00674,s_1714d2fa,sc_102,,,referral,pro,,,,,,,,,desktop,ca-ES,control
2025-08-01T15:50:48Z,signup_completed,,u_01079,a_01079,s_cdc4fea0,,,,paid_search,free,,,,email_password,True,,,,desktop,es-ES,control
2025-08-01T15:54:48Z,select_scale,,u_01079,a_01079,s_cdc4fea0,sc_104,,,paid_search,free,,,,,,,,,desktop,es-ES,control
2025-08-01T15:55:44Z,signup_completed,,u_00603,a_00603,s_f9cae86e,,,,paid_search,pro,,,,sso_google,True,,,,mobile,en-US,control
2025-08-01T16:00:48Z,submit_assessment,,u_01079,a_01079,s_cdc4fea0,sc_104,as_15e22911ee,,paid_search,free,,,,,,started,,,desktop,es-ES,control
2025-08-01T16:02:48Z,submit_assessment,,u_01079,a_01079,s_cdc4fea0,sc_104,as_15e22911ee,,paid_search,free,,,,,,in_progress,,,desktop,es-ES,control
2025-08-01T16:12:48Z,submit_assessment,,u_01079,a_01079,s_cdc4fea0,sc_104,as_15e22911ee,,paid_search,free,,,,,,complete,,,desktop,es-ES,control
2025-08-01T16:14:34Z,signup_completed,,u_01254,a_01254,s_6b84eee4,,,,paid_search,free,,,,email_password,False,,,,mobile,en-US,control
2025-08-01T16:15:12Z,signup_completed,,u_00423,a_00423,s_19f89edb,,,,organic,free,,,,sso_google,True,,,,desktop,ca-ES,control
2025-08-01T16:17:34Z,submit_assessment,,u_01254,a_01254,s_6b84eee4,sc_104,as_bf8cd5e277,,paid_search,free,,,,,,started,,,mobile,en-US,control
2025-08-01T16:19:34Z,select_scale,,u_01254,a_01254,s_6b84eee4,sc_104,,,paid_search,free,,,,,,,,,mobile,en-US,control
2025-08-01T16:30:34Z,submit_assessment,,u_01254,a_01254,s_6b84eee4,sc_104,as_bf8cd5e277,,paid_search,free,,,,,,in_progress,,,mobile,en-US,control
2025-08-01T16:33:17Z,signup_completed,,u_01451,a_01451,s_fdaebef9,,,,organic,free,,,,email_password,True,,,,desktop,es-ES,control
2025-08-01T16:35:34Z,submit_assessment,,u_01254,a_01254,s_6b84eee4,sc_104,as_bf8cd5e277,,paid_search,free,,,,,,complete,,,mobile,en-US,control
2025-08-01T16:59:51Z,signup_completed,,u_00026,a_00026,s_6ab56f51,,,,paid_search,pro,,,,email_password,True,,,,mobile,es-ES,control
2025-08-01T17:03:51Z,submit_assessment,,u_00026,a_00026,s_6ab56f51,sc_103,as_92376cf03c,,paid_search,pro,,,,,,started,,,mobile,es-ES,control
2025-08-01T17:04:51Z,select_scale,,u_00026,a_00026,s_6ab56f51,sc_103,,,paid_search,pro,,,,,,,,,mobile,es-ES,control
2025-08-01T17:13:51Z,submit_assessment,,u_00026,a_00026,s_6ab56f51,sc_103,as_92376cf03c,,paid_search,pro,,,,,,in_progress,,,mobile,es-ES,control
2025-08-01T17:22:15Z,signup_completed,,u_00104,a_00104,s_fd6a382b,,,,paid_search,free,,,,email_password,True,,,,desktop,ca-ES,control
2025-08-01T17:23:51Z,submit_assessment,,u_00026,a_00026,s_6ab56f51,sc_103,as_92376cf03c,,paid_search,pro,,,,,,complete,,,mobile,es-ES,control
2025-08-01T17:27:15Z,select_scale,,u_00104,a_00104,s_fd6a382b,sc_105,,,paid_search,free,,,,,,,,,desktop,ca-ES,control
2025-08-01T17:28:15Z,submit_assessment,,u_00104,a_00104,s_fd6a382b,sc_105,as_ad7864215d,,paid_search,free,,,,,,in_progress,,,desktop,ca-ES,control
2025-08-01T17:30:30Z,signup_completed,,u_00889,a_00889,s_c43fa430,,,,email,free,,,,email_password,True,,,,mobile,fr-FR,control
2025-08-01T17:32:15Z,submit_assessment,,u_00104,a_00104,s_fd6a382b,sc_105,as_ad7864215d,,paid_search,free,,,,,,started,,,desktop,ca-ES,control
2025-08-01T17:34:30Z,select_scale,,u_00889,a_00889,s_c43fa430,sc_105,,,email,free,,,,,,,,,mobile,fr-FR,control
2025-08-01T17:37:30Z,submit_assessment,,u_00889,a_00889,s_c43fa430,sc_105,as_59617514f5,,email,free,,,,,,started,,,mobile,fr-FR,control
2025-08-01T17:42:15Z,submit_assessment,,u_00104,a_00104,s_fd6a382b,sc_105,as_ad7864215d,,paid_search,free,,,,,,complete,,,desktop,ca-ES,control
2025-08-01T17:45:30Z,submit_assessment,,u_00889,a_00889,s_c43fa430,sc_105,as_59617514f5,,email,free,,,,,,in_progress,,,mobile,fr-FR,control
2025-08-01T17:48:30Z,submit_assessment,,u_00889,a_00889,s_c43fa430,sc_105,as_59617514f5,,email,free,,,,,,complete,,,mobile,fr-FR,control
2025-08-01T18:02:55Z,signup_completed,,u_00987,a_00987,s_63ddc916,,,,paid_search,pro,,,,sso_google,True,,,,desktop,fr-FR,control
2025-08-01T18:05:55Z,select_scale,,u_00987,a_00987,s_63ddc916,sc_101,,,paid_search,pro,,,,,,,,,desktop,fr-FR,control
2025-08-01T18:07:04Z,signup_completed,,u_01482,a_01482,s_96e8aabe,,,,organic,free,,,,sso_google,True,,,,desktop,es-ES,control
2025-08-01T18:10:55Z,submit_assessment,,u_00987,a_00987,s_63ddc916,sc_101,as_90cec4795c,,paid_search,pro,,,,,,started,,,desktop,fr-FR,control
2025-08-01T18:12:04Z,select_scale,,u_01482,a_01482,s_96e8aabe,sc_102,,,organic,free,,,,,,,,,desktop,es-ES,control
2025-08-01T18:12:04Z,submit_assessment,,u_01482,a_01482,s_96e8aabe,sc_102,as_ea1db18d64,,organic,free,,,,,,in_progress,,,desktop,es-ES,control
2025-08-01T18:17:04Z,submit_assessment,,u_01482,a_01482,s_96e8aabe,sc_102,as_ea1db18d64,,organic,free,,,,,,started,,,desktop,es-ES,control
2025-08-01T18:21:55Z,submit_assessment,,u_00987,a_00987,s_63ddc916,sc_101,as_90cec4795c,,paid_search,pro,,,,,,in_progress,,,desktop,fr-FR,control
2025-08-01T18:25:55Z,submit_assessment,,u_00987,a_00987,s_63ddc916,sc_101,as_90cec4795c,,paid_search,pro,,,,,,complete,,,desktop,fr-FR,control
2025-08-01T18:30:04Z,submit_assessment,,u_01482,a_01482,s_96e8aabe,sc_102,as_ea1db18d64,,organic,free,,,,,,complete,,,desktop,es-ES,control
2025-08-01T18:30:04Z,generate_report,,u_01482,a_01482,s_96e8aabe,sc_102,as_ea1db18d64,r_875dd412cc,organic,free,,,,,,,web,2952,desktop,es-ES,control
2025-08-01T19:15:52Z,signup_completed,,u_00757,a_00757,s_bb256905,,,,organic,free,,,,email_password,True,,,,desktop,ca-ES,control
2025-08-01T19:18:52Z,select_scale,,u_00757,a_00757,s_bb256905,sc_102,,,organic,free,,,,,,,,,desktop,ca-ES,control
2025-08-01T19:21:50Z,signup_completed,,u_00139,a_00139,s_a67e2bd9,,,,organic,pro,,,,sso_google,True,,,,desktop,fr-FR,control
2025-08-01T19:24:52Z,submit_assessment,,u_00757,a_00757,s_bb256905,sc_102,as_95c9d02f9f,,organic,free,,,,,,started,,,desktop,ca-ES,control
2025-08-01T19:25:50Z,select_scale,,u_00139,a_00139,s_a67e2bd9,sc_101,,,organic,pro,,,,,,,,,desktop,fr-FR,control
2025-08-01T19:26:52Z,submit_assessment,,u_00757,a_00757,s_bb256905,sc_102,as_95c9d02f9f,,organic,free,,,,,,complete,,,desktop,ca-ES,control
2025-08-01T19:27:44Z,signup_completed,,u_00637,a_00637,s_c129caa1,,,,paid_search,free,,,,sso_google,True,,,,tablet,en-US,control
2025-08-01T19:35:52Z,signup_completed,,u_00396,a_00396,s_6896464c,,,,direct,free,,,,email_password,True,,,,desktop,en-US,control
2025-08-01T19:35:52Z,submit_assessment,,u_00757,a_00757,s_bb256905,sc_102,as_95c9d02f9f,,organic,free,,,,,,in_progress,,,desktop,ca-ES,control
2025-08-01T19:38:19Z,signup_completed,,u_00995,a_00995,s_4622bb4a,,,,organic,free,,,,sso_google,True,,,,desktop,fr-FR,control
2025-08-01T19:39:19Z,select_scale,,u_00995,a_00995,s_4622bb4a,sc_104,,,organic,free,,,,,,,,,desktop,fr-FR,control
2025-08-01T19:39:52Z,select_scale,,u_00396,a_00396,s_6896464c,sc_103,,,direct,free,,,,,,,,,desktop,en-US,control
2025-08-01T19:43:19Z,submit_assessment,,u_00995,a_00995,s_4622bb4a,sc_104,as_ef0efd1695,,organic,free,,,,,,in_progress,,,desktop,fr-FR,control
2025-08-01T19:44:52Z,submit_assessment,,u_00396,a_00396,s_6896464c,sc_103,as_c40f6a1be4,,direct,free,,,,,,started,,,desktop,en-US,control
2025-08-01T19:46:19Z,submit_assessment,,u_00995,a_00995,s_4622bb4a,sc_104,as_ef0efd1695,,organic,free,,,,,,started,,,desktop,fr-FR,control
2025-08-01T19:46:52Z,submit_assessment,,u_00396,a_00396,s_6896464c,sc_103,as_c40f6a1be4,,direct,free,,,,,,in_progress,,,desktop,en-US,control
2025-08-01T19:48:52Z,submit_assessment,,u_00396,a_00396,s_6896464c,sc_103,as_c40f6a1be4,,direct,free,,,,,,complete,,,desktop,en-US,control
2025-08-01T19:54:19Z,submit_assessment,,u_00995,a_00995,s_4622bb4a,sc_104,as_ef0efd1695,,organic,free,,,,,,complete,,,desktop,fr-FR,control
2025-08-01T20:06:50Z,signup_completed,,u_00456,a_00456,s_65fdd587,,,,organic,free,,,,email_password,True,,,,desktop,es-ES,control
2025-08-01T20:11:50Z,select_scale,,u_00456,a_00456,s_65fdd587,sc_103,,,organic,free,,,,,,,,,desktop,es-ES,control
2025-08-01T20:11:50Z,submit_assessment,,u_00456,a_00456,s_65fdd587,sc_103,as_cdab0af0ca,,organic,free,,,,,,started,,,desktop,es-ES,control
2025-08-01T20:18:50Z,submit_assessment,,u_00456,a_00456,s_65fdd587,sc_103,as_cdab0af0ca,,organic,free,,,,,,in_progress,,,desktop,es-ES,control
2025-08-01T20:30:50Z,submit_assessment,,u_00456,a_00456,s_65fdd587,sc_103,as_cdab0af0ca,,organic,free,,,,,,complete,,,desktop,es-ES,control
2025-08-01T20:31:39Z,signup_completed,,u_00740,a_00740,s_c5117623,,,,referral,free,,,,email_password,True,,,,desktop,en-US,control
2025-08-01T20:34:39Z,submit_assessment,,u_00740,a_00740,s_c5117623,sc_101,as_7bb24027ae,,referral,free,,,,,,started,,,desktop,en-US,control
2025-08-01T20:36:39Z,select_scale,,u_00740,a_00740,s_c5117623,sc_101,,,referral,free,,,,,,,,,desktop,en-US,control
2025-08-01T20:39:39Z,submit_assessment,,u_00740,a_00740,s_c5117623,sc_101,as_7bb24027ae,,referral,free,,,,,,in_progress,,,desktop,en-US,control
2025-08-01T20:44:39Z,signup_completed,,u_00234,a_00234,s_08c1b3d4,,,,paid_search,pro,,,,email_password,True,,,,desktop,es-ES,control
2025-08-01T20:45:39Z,select_scale,,u_00234,a_00234,s_08c1b3d4,sc_101,,,paid_search,pro,,,,,,,,,desktop,es-ES,control
2025-08-01T20:48:39Z,submit_assessment,,u_00234,a_00234,s_08c1b3d4,sc_101,as_9a629f3c38,,paid_search,pro,,,,,,started,,,desktop,es-ES,control
2025-08-01T20:48:39Z,submit_assessment,,u_00740,a_00740,s_c5117623,sc_101,as_7bb24027ae,,referral,free,,,,,,complete,,,desktop,en-US,control
2025-08-01T20:58:39Z,submit_assessment,,u_00234,a_00234,s_08c1b3d4,sc_101,as_9a629f3c38,,paid_search,pro,,,,,,in_progress,,,desktop,es-ES,control
2025-08-01T21:09:39Z,submit_assessment,,u_00234,a_00234,s_08c1b3d4,sc_101,as_9a629f3c38,,paid_search,pro,,,,,,complete,,,desktop,es-ES,control
2025-08-02T09:08:59Z,signup_completed,,u_01060,a_01060,s_d44cb5cf,,,,referral,free,,,,email_password,True,,,,desktop,ca-ES,control
2025-08-02T09:11:59Z,select_scale,,u_01060,a_01060,s_d44cb5cf,sc_102,,,referral,free,,,,,,,,,desktop,ca-ES,control
2025-08-02T09:15:59Z,submit_assessment,,u_01060,a_01060,s_d44cb5cf,sc_102,as_741cc29025,,referral,free,,,,,,started,,,desktop,ca-ES,control
2025-08-02T09:22:59Z,submit_assessment,,u_01060,a_01060,s_d44cb5cf,sc_102,as_741cc29025,,referral,free,,,,,,in_progress,,,desktop,ca-ES,control
2025-08-02T09:33:59Z,submit_assessment,,u_01060,a_01060,s_d44cb5cf,sc_102,as_741cc29025,,referral,free,,,,,,complete,,,desktop,ca-ES,control
2025-08-02T10:20:06Z,signup_completed,,u_00748,a_00748,s_29633fc7,,,,referral,free,,,,email_password,True,,,,tablet,es-ES,control
2025-08-02T10:22:06Z,select_scale,,u_00748,a_00748,s_29633fc7,sc_102,,,referral,free,,,,,,,,,tablet,es-ES,control
2025-08-02T11:13:04Z,signup_completed,,u_00148,a_00148,s_ace6e6fe,,,,organic,free,,,,email_password,True,,,,desktop,en-US,control
2025-08-02T11:15:04Z,select_scale,,u_00148,a_00148,s_ace6e6fe,sc_105,,,organic,free,,,,,,,,,desktop,en-US,control
2025-08-02T11:25:18Z,signup_completed,,u_01093,a_01093,s_0cef9cfb,,,,organic,free,,,,sso_google,True,,,,mobile,en-US,control
2025-08-02T11:27:18Z,select_scale,,u_01093,a_01093,s_0cef9cfb,sc_101,,,organic,free,,,,,,,,,mobile,en-US,control
2025-08-02T11:36:29Z,signup_completed,,u_00846,a_00846,s_cbad3368,,,,paid_search,pro,,,,sso_google,True,,,,desktop,es-ES,control
2025-08-02T12:32:53Z,signup_completed,,u_01368,a_01368,s_734eb98e,,,,paid_search,free,,,,email_password,True,,,,desktop,ca-ES,control
2025-08-02T12:35:53Z,select_scale,,u_01368,a_01368,s_734eb98e,sc_101,,,paid_search,free,,,,,,,,,desktop,ca-ES,control
2025-08-02T12:57:19Z,signup_completed,,u_00692,a_00692,s_fca8e13e,,,,paid_search,pro,,,,email_password,True,,,,desktop,fr-FR,control
2025-08-02T13:02:19Z,select_scale,,u_00692,a_00692,s_fca8e13e,sc_104,,,paid_search,pro,,,,,,,,,desktop,fr-FR,control
2025-08-02T13:43:22Z,signup_completed,,u_00355,a_00355,s_5748826e,,,,organic,free,,,,sso_google,True,,,,tablet,ca-ES,control
2025-08-02T13:44:22Z,select_scale,,u_00355,a_00355,s_5748826e,sc_104,,,organic,free,,,,,,,,,tablet,ca-ES,control
2025-08-02T14:05:56Z,signup_completed,,u_01371,a_01371,s_93462fc1,,,,organic,free,,,,email_password,True,,,,desktop,es-ES,control
2025-08-02T14:07:56Z,select_scale,,u_01371,a_01371,s_93462fc1,sc_102,,,organic,free,,,,,,,,,desktop,es-ES,control
2025-08-02T14:09:56Z,submit_assessment,,u_01371,a_01371,s_93462fc1,sc_102,as_daa73fcacf,,organic,free,,,,,,started,,,desktop,es-ES,control
2025-08-02T14:12:56Z,submit_assessment,,u_01371,a_01371,s_93462fc1,sc_102,as_daa73fcacf,,organic,free,,,,,,in_progress,,,desktop,es-ES,control
2025-08-02T14:23:56Z,submit_assessment,,u_01371,a_01371,s_93462fc1,sc_102,as_daa73fcacf,,organic,free,,,,,,complete,,,desktop,es-ES,control
2025-08-02T15:11:00Z,signup_completed,,u_00985,a_00985,s_e5795269,,,,organic,pro,,,,email_password,True,,,,desktop,ca-ES,control
2025-08-02T15:13:00Z,select_scale,,u_00985,a_00985,s_e5795269,sc_102,,,organic,pro,,,,,,,,,desktop,ca-ES,control
2025-08-02T15:16:00Z,submit_assessment,,u_00985,a_00985,s_e5795269,sc_102,as_f7e7aa0fc0,,organic,pro,,,,,,in_progress,,,desktop,ca-ES,control
2025-08-02T15:20:00Z,submit_assessment,,u_00985,a_00985,s_e5795269,sc_102,as_f7e7aa0fc0,,organic,pro,,,,,,started,,,desktop,ca-ES,control
2025-08-02T15:20:00Z,submit_assessment,,u_00985,a_00985,s_e5795269,sc_102,as_f7e7aa0fc0,,organic,pro,,,,,,complete,,,desktop,ca-ES,control
2025-08-02T16:17:11Z,signup_completed,,u_00833,a_00833,s_05bd3f18,,,,organic,free,,,,sso_google,True,,,,desktop,ca-ES,control
2025-08-02T16:18:11Z,select_scale,,u_00833,a_00833,s_05bd3f18,sc_103,,,organic,free,,,,,,,,,desktop,ca-ES,control
2025-08-02T16:26:11Z,submit_assessment,,u_00833,a_00833,s_05bd3f18,sc_103,as_a1a6875443,,organic,free,,,,,,started,,,desktop,ca-ES,control
2025-08-02T16:29:11Z,submit_assessment,,u_00833,a_00833,s_05bd3f18,sc_103,as_a1a6875443,,organic,free,,,,,,in_progress,,,desktop,ca-ES,control
2025-08-02T16:29:11Z,generate_report,,u_00833,a_00833,s_05bd3f18,sc_103,as_a1a6875443,r_76f28a4aaf,organic,free,,,,,,,web,1016,desktop,ca-ES,control
2025-08-02T16:30:00Z,signup_completed,,u_00220,a_00220,s_2d56a87e,,,,organic,free,,,,sso_google,True,,,,mobile,ca-ES,control
2025-08-02T16:30:11Z,submit_assessment,,u_00833,a_00833,s_05bd3f18,sc_103,as_a1a6875443,,organic,free,,,,,,complete,,,desktop,ca-ES,control
2025-08-02T16:43:46Z,signup_completed,,u_01336,a_01336,s_adf19527,,,,email,free,,,,email_password,True,,,,desktop,en-US,control
2025-08-02T16:44:46Z,select_scale,,u_01336,a_01336,s_adf19527,sc_103,,,email,free,,,,,,,,,desktop,en-US,control
2025-08-02T16:52:49Z,signup_completed,,u_00280,a_00280,s_92c4b5b0,,,,organic,pro,,,,email_password,True,,,,desktop,en-US,control
2025-08-02T16:53:49Z,select_scale,,u_00280,a_00280,s_92c4b5b0,sc_101,,,organic,pro,,,,,,,,,desktop,en-US,control
2025-08-02T16:55:49Z,submit_assessment,,u_00280,a_00280,s_92c4b5b0,sc_101,as_ac86292b53,,organic,pro,,,,,,started,,,desktop,en-US,control
2025-08-02T16:59:49Z,submit_assessment,,u_00280,a_00280,s_92c4b5b0,sc_101,as_ac86292b53,,organic,pro,,,,,,in_progress,,,desktop,en-US,control
2025-08-02T17:02:08Z,signup_completed,,u_00468,a_00468,s_7370ca7b,,,,email,free,,,,sso_google,True,,,,mobile,en-US,control
2025-08-02T17:03:08Z,select_scale,,u_00468,a_00468,s_7370ca7b,sc_104,,,email,free,,,,,,,,,mobile,en-US,control
2025-08-02T17:06:49Z,submit_assessment,,u_00280,a_00280,s_92c4b5b0,sc_101,as_ac86292b53,,organic,pro,,,,,,complete,,,desktop,en-US,control
2025-08-02T17:10:08Z,submit_assessment,,u_00468,a_00468,s_7370ca7b,sc_104,as_b397a0f2a6,,email,free,,,,,,started,,,mobile,en-US,control
2025-08-02T17:18:08Z,generate_report,,u_00468,a_00468,s_7370ca7b,sc_104,as_b397a0f2a6,r_d329c6052e,email,free,,,,,,,web,1514,mobile,en-US,control
2025-08-02T17:20:08Z,submit_assessment,,u_00468,a_00468,s_7370ca7b,sc_104,as_b397a0f2a6,,email,free,,,,,,in_progress,,,mobile,en-US,control
2025-08-02T17:21:08Z,submit_assessment,,u_00468,a_00468,s_7370ca7b,sc_104,as_b397a0f2a6,,email,free,,,,,,complete,,,mobile,en-US,control
